year,make,model,body_styles,color,mileage,price,fuel_type,engine,transmission,safety_rating,trunk_space_liters,features,condition,location,vin,status,features_list,body_styles_list,search_text
2023,Audi,A4,Sedan,Rojo,15000,35000,Gasolina,2.0L Turbo,Automática,5,480,"Navegación GPS, Asientos de cuero, Cámara trasera, Control crucero adaptativo",Excelente,Madrid,WAUAF78E23A123456,Available,"['Navegación GPS', 'Asientos de cuero', 'Cámara trasera', 'Control crucero adaptativo']",['Sedan'],2023 audi a4 rojo gasolina excelente navegación gps asientos de cuero cámara trasera control crucero adaptativo sedan available
2023,BMW,X3,SUV,Negro,8000,45000,Gasolina,2.0L Turbo,Automática,5,550,"Techo panorámico, Asientos calefactados, Sistema de sonido premium, Sensores de aparcamiento",Excelente,Barcelona,WBAXG9C50DD123457,Available,"['Techo panorámico', 'Asientos calefactados', 'Sistema de sonido premium', 'Sensores de aparcamiento']",['SUV'],2023 bmw x3 negro gasolina excelente techo panorámico asientos calefactados sistema de sonido premium sensores de aparcamiento suv available
2023,Mercedes-Benz,C-Class,Sedan,Blanco,12000,42000,Gasolina,2.0L Turbo,Automática,5,455,"Asientos de cuero, Navegación, Control de crucero, Luces LED",Muy bueno,Valencia,WDDGF4HB1DA123458,Available,"['Asientos de cuero', 'Navegación', 'Control de crucero', 'Luces LED']",['Sedan'],2023 mercedes-benz c-class blanco gasolina muy bueno asientos de cuero navegación control de crucero luces led sedan available
2023,Toyota,Camry,Sedan,Azul,20000,28000,Híbrido,2.5L Híbrido,CVT,5,524,"Sistema de seguridad Toyota Safety Sense, Pantalla táctil, Cámara de respaldo",Bueno,Sevilla,4T1G11AK8JU123459,Available,"['Sistema de seguridad Toyota Safety Sense', 'Pantalla táctil', 'Cámara de respaldo']",['Sedan'],2023 toyota camry azul híbrido bueno sistema de seguridad toyota safety sense pantalla táctil cámara de respaldo sedan available
2023,Honda,CR-V,SUV,Verde,18000,32000,Gasolina,1.5L Turbo,CVT,5,589,"Honda Sensing, Asientos calefactados, Techo corredizo, Carga inalámbrica",Muy bueno,Bilbao,2HKRW2H85NH123460,Available,"['Honda Sensing', 'Asientos calefactados', 'Techo corredizo', 'Carga inalámbrica']",['SUV'],2023 honda cr-v verde gasolina muy bueno honda sensing asientos calefactados techo corredizo carga inalámbrica suv available
2023,Ford,F-150,Pickup,Gris,25000,38000,Gasolina,3.5L V6,Automática,4,1704,"Caja de carga resistente, Remolque hasta 5000kg, Pantalla SYNC 4",Bueno,Zaragoza,1FTFW1E50NFA123461,Available,"['Caja de carga resistente', 'Remolque hasta 5000kg', 'Pantalla SYNC 4']",['Pickup'],2023 ford f-150 gris gasolina bueno caja de carga resistente remolque hasta 5000kg pantalla sync 4 pickup available
2023,Volkswagen,Golf,Hatchback,Rojo,10000,25000,Gasolina,1.4L TSI,Manual,5,380,"Conectividad smartphone, Asientos deportivos, Luces LED",Excelente,Málaga,WVWZZZ1JZYW123462,Available,"['Conectividad smartphone', 'Asientos deportivos', 'Luces LED']",['Hatchback'],2023 volkswagen golf rojo gasolina excelente conectividad smartphone asientos deportivos luces led hatchback available
2023,Nissan,Altima,Sedan,Negro,22000,26000,Gasolina,2.5L,CVT,5,444,"Nissan Safety Shield, Asientos Zero Gravity, Navegación",Bueno,Murcia,1N4BL4BV4NC123463,Available,"['Nissan Safety Shield', 'Asientos Zero Gravity', 'Navegación']",['Sedan'],2023 nissan altima negro gasolina bueno nissan safety shield asientos zero gravity navegación sedan available
2023,Hyundai,Tucson,SUV,Blanco,16000,30000,Gasolina,2.5L,Automática,5,513,"SmartSense, Pantalla de 10.25 pulgadas, Carga inalámbrica",Muy bueno,Palma,KMHL14JA1PA123464,Available,"['SmartSense', 'Pantalla de 10.25 pulgadas', 'Carga inalámbrica']",['SUV'],2023 hyundai tucson blanco gasolina muy bueno smartsense pantalla de 10.25 pulgadas carga inalámbrica suv available
2023,Kia,Sorento,SUV,Azul,14000,35000,Híbrido,2.5L Híbrido,Automática,5,821,"7 asientos, Techo panorámico, Sistema de sonido Bose",Excelente,Las Palmas,5XYP34HC0PG123465,Available,"['7 asientos', 'Techo panorámico', 'Sistema de sonido Bose']",['SUV'],2023 kia sorento azul híbrido excelente 7 asientos techo panorámico sistema de sonido bose suv available
2023,Mazda,CX-5,SUV,Rojo,19000,29000,Gasolina,2.5L,Automática,5,442,"i-ACTIVSENSE, Asientos de cuero, Navegación Mazda Connect",Bueno,Valladolid,JM3KFBCM1P0123466,Available,"['i-ACTIVSENSE', 'Asientos de cuero', 'Navegación Mazda Connect']",['SUV'],2023 mazda cx-5 rojo gasolina bueno i-activsense asientos de cuero navegación mazda connect suv available
2023,Subaru,Outback,Wagon,Verde,17000,33000,Gasolina,2.5L Boxer,CVT,5,522,"EyeSight, Tracción integral, Asientos resistentes al agua",Muy bueno,Santander,4S4BSANC6P3123467,Available,"['EyeSight', 'Tracción integral', 'Asientos resistentes al agua']",['Wagon'],2023 subaru outback verde gasolina muy bueno eyesight tracción integral asientos resistentes al agua wagon available
2023,Lexus,ES,Sedan,Negro,9000,40000,Híbrido,2.5L Híbrido,CVT,5,454,"Lexus Safety System+, Asientos de cuero premium, Mark Levinson",Excelente,Córdoba,58ABK1GG0PU123468,Available,"['Lexus Safety System+', 'Asientos de cuero premium', 'Mark Levinson']",['Sedan'],2023 lexus es negro híbrido excelente lexus safety system+ asientos de cuero premium mark levinson sedan available
2023,Acura,MDX,SUV,Blanco,11000,48000,Gasolina,3.5L V6,Automática,5,447,"AcuraWatch, 7 asientos, Sistema de sonido ELS Studio",Excelente,Toledo,5J8YD4H30PL123469,Available,"['AcuraWatch', '7 asientos', 'Sistema de sonido ELS Studio']",['SUV'],2023 acura mdx blanco gasolina excelente acurawatch 7 asientos sistema de sonido els studio suv available
2023,Infiniti,Q50,Sedan,Gris,13000,37000,Gasolina,3.0L V6 Turbo,Automática,5,400,"ProPILOT Assist, Asientos de cuero, Sistema Bose",Muy bueno,Badajoz,JN1EV7AR0PM123470,Available,"['ProPILOT Assist', 'Asientos de cuero', 'Sistema Bose']",['Sedan'],2023 infiniti q50 gris gasolina muy bueno propilot assist asientos de cuero sistema bose sedan available
2023,Volvo,XC90,SUV,Azul,7000,55000,Híbrido,2.0L Turbo Híbrido,Automática,5,721,"Pilot Assist, 7 asientos, Sistema de sonido Bowers & Wilkins",Excelente,Logroño,YV4A22PK0P1123471,Available,"['Pilot Assist', '7 asientos', 'Sistema de sonido Bowers & Wilkins']",['SUV'],2023 volvo xc90 azul híbrido excelente pilot assist 7 asientos sistema de sonido bowers & wilkins suv available
2023,Cadillac,XT5,SUV,Negro,12000,46000,Gasolina,2.0L Turbo,Automática,5,760,"Super Cruise, Asientos de cuero, Sistema de sonido Bose",Muy bueno,Pamplona,1GYKNCRS0PZ123472,Available,"['Super Cruise', 'Asientos de cuero', 'Sistema de sonido Bose']",['SUV'],2023 cadillac xt5 negro gasolina muy bueno super cruise asientos de cuero sistema de sonido bose suv available
2023,Genesis,G90,Sedan,Blanco,6000,65000,Gasolina,3.3L V6 Turbo,Automática,5,494,"Genesis Active Safety Control, Asientos Nappa, Lexicon",Excelente,Vitoria,KMHG14LA0PA123473,Available,"['Genesis Active Safety Control', 'Asientos Nappa', 'Lexicon']",['Sedan'],2023 genesis g90 blanco gasolina excelente genesis active safety control asientos nappa lexicon sedan available
2023,Jaguar,F-PACE,SUV,Rojo,15000,52000,Gasolina,2.0L Turbo,Automática,5,650,"Meridian Sound, Asientos Windsor, Navegación Pivi Pro",Muy bueno,Oviedo,SADCK2FX0PA123474,Available,"['Meridian Sound', 'Asientos Windsor', 'Navegación Pivi Pro']",['SUV'],2023 jaguar f-pace rojo gasolina muy bueno meridian sound asientos windsor navegación pivi pro suv available
2023,Land Rover,Range Rover Evoque,SUV,Verde,18000,48000,Gasolina,2.0L Turbo,Automática,5,591,"Terrain Response, Asientos de cuero Oxford, Meridian",Bueno,Santander,SALVA2BG0PH123475,Available,"['Terrain Response', 'Asientos de cuero Oxford', 'Meridian']",['SUV'],2023 land rover range rover evoque verde gasolina bueno terrain response asientos de cuero oxford meridian suv available
2023,Porsche,Macan,SUV,Negro,5000,58000,Gasolina,2.0L Turbo,PDK,5,500,"Porsche Communication Management, Asientos deportivos, Bose",Excelente,San Sebastián,WP1AB2A59PLN123476,Available,"['Porsche Communication Management', 'Asientos deportivos', 'Bose']",['SUV'],2023 porsche macan negro gasolina excelente porsche communication management asientos deportivos bose suv available
2023,Tesla,Model 3,Sedan,Blanco,8000,45000,Eléctrico,Dual Motor,Automática,5,425,"Autopilot, Pantalla de 15 pulgadas, Supercargador incluido",Excelente,Girona,5YJ3E1EA0PF123477,Available,"['Autopilot', 'Pantalla de 15 pulgadas', 'Supercargador incluido']",['Sedan'],2023 tesla model 3 blanco eléctrico excelente autopilot pantalla de 15 pulgadas supercargador incluido sedan available
2023,Audi,Q5,SUV,Gris,14000,47000,Gasolina,2.0L TFSI,Tiptronic,5,550,"Virtual Cockpit, MMI Navigation, Asientos S line",Muy bueno,Tarragona,WA1BNAFY0P2123478,Available,"['Virtual Cockpit', 'MMI Navigation', 'Asientos S line']",['SUV'],2023 audi q5 gris gasolina muy bueno virtual cockpit mmi navigation asientos s line suv available
2023,BMW,3 Series,Sedan,Azul,16000,38000,Gasolina,2.0L TwinPower,Steptronic,5,480,"iDrive 7, Asientos deportivos, Luces LED adaptativas",Bueno,Lleida,WBA8E9G50PNU123479,Available,"['iDrive 7', 'Asientos deportivos', 'Luces LED adaptativas']",['Sedan'],2023 bmw 3 series azul gasolina bueno idrive 7 asientos deportivos luces led adaptativas sedan available
2023,Mercedes-Benz,GLC,SUV,Negro,11000,50000,Gasolina,2.0L Turbo,9G-TRONIC,5,550,"MBUX, Asientos ARTICO, Paquete AMG Line",Excelente,Huesca,WDC0G4KB0PF123480,Available,"['MBUX', 'Asientos ARTICO', 'Paquete AMG Line']",['SUV'],2023 mercedes-benz glc negro gasolina excelente mbux asientos artico paquete amg line suv available
2023,Toyota,RAV4,SUV,Rojo,21000,31000,Híbrido,2.5L Híbrido,CVT,5,580,"Toyota Safety Sense 2.0, Tracción integral, JBL Premium",Bueno,Teruel,2T3F1RFV0PC123481,Available,"['Toyota Safety Sense 2.0', 'Tracción integral', 'JBL Premium']",['SUV'],2023 toyota rav4 rojo híbrido bueno toyota safety sense 2.0 tracción integral jbl premium suv available
2023,Honda,Accord,Sedan,Blanco,19000,29000,Híbrido,2.0L Híbrido,CVT,5,473,"Honda Sensing, Asientos de cuero, Bose Premium Audio",Muy bueno,Castellón,1HGCV1F30PA123482,Available,"['Honda Sensing', 'Asientos de cuero', 'Bose Premium Audio']",['Sedan'],2023 honda accord blanco híbrido muy bueno honda sensing asientos de cuero bose premium audio sedan available
2023,Ford,Explorer,SUV,Verde,23000,36000,Gasolina,2.3L EcoBoost,Automática,5,595,"Co-Pilot360, 7 asientos, SYNC 4A",Bueno,Alicante,1FM5K8D80PGA123483,Available,"['Co-Pilot360', '7 asientos', 'SYNC 4A']",['SUV'],2023 ford explorer verde gasolina bueno co-pilot360 7 asientos sync 4a suv available
2023,Chevrolet,Tahoe,SUV,Negro,20000,55000,Gasolina,5.3L V8,Automática,5,722,"Safety Assist, 8 asientos, Bose Premium",Bueno,Albacete,1GNSKCKC0PR123484,Available,"['Safety Assist', '8 asientos', 'Bose Premium']",['SUV'],2023 chevrolet tahoe negro gasolina bueno safety assist 8 asientos bose premium suv available
2023,GMC,Sierra 1500,Pickup,Gris,18000,42000,Gasolina,2.7L Turbo,Automática,4,1590,"ProGrade Trailering, Caja MultiPro, GMC Premium",Muy bueno,Ciudad Real,1GTU9CED0PZ123485,Available,"['ProGrade Trailering', 'Caja MultiPro', 'GMC Premium']",['Pickup'],2023 gmc sierra 1500 gris gasolina muy bueno prograde trailering caja multipro gmc premium pickup available
2023,Ram,1500,Pickup,Blanco,22000,40000,Gasolina,3.6L V6,Automática,4,1817,"Uconnect 4C, RamBox, Asientos de cuero",Bueno,Cuenca,1C6SRFFT0PN123486,Available,"['Uconnect 4C', 'RamBox', 'Asientos de cuero']",['Pickup'],2023 ram 1500 blanco gasolina bueno uconnect 4c rambox asientos de cuero pickup available
2023,Jeep,Grand Cherokee,SUV,Azul,17000,38000,Gasolina,3.6L V6,Automática,5,1027,"Uconnect 5, Tracción Quadra-Trac, Asientos Nappa",Muy bueno,Guadalajara,1C4RJFAG0PC123487,Available,"['Uconnect 5', 'Tracción Quadra-Trac', 'Asientos Nappa']",['SUV'],2023 jeep grand cherokee azul gasolina muy bueno uconnect 5 tracción quadra-trac asientos nappa suv available
2023,Dodge,Charger,Sedan,Rojo,15000,35000,Gasolina,3.6L V6,Automática,4,456,"Uconnect 4C, Asientos deportivos, Sistema Beats",Muy bueno,Ávila,2C3CDXBG0PH123488,Available,"['Uconnect 4C', 'Asientos deportivos', 'Sistema Beats']",['Sedan'],2023 dodge charger rojo gasolina muy bueno uconnect 4c asientos deportivos sistema beats sedan available
2023,Chrysler,Pacifica,Van,Negro,16000,33000,Gasolina,3.6L V6,Automática,5,2407,"Stow 'n Go, Uconnect Theater, 8 asientos",Bueno,Segovia,2C4RC1BG0PR123489,Available,"[""Stow 'n Go"", 'Uconnect Theater', '8 asientos']",['Van'],2023 chrysler pacifica negro gasolina bueno stow 'n go uconnect theater 8 asientos van available
2023,Buick,Enclave,SUV,Blanco,14000,41000,Gasolina,3.6L V6,Automática,5,658,"Buick Infotainment, 7 asientos, Bose Premium",Muy bueno,Soria,5GAEVAKW0PJ123490,Available,"['Buick Infotainment', '7 asientos', 'Bose Premium']",['SUV'],2023 buick enclave blanco gasolina muy bueno buick infotainment 7 asientos bose premium suv available
2023,Cadillac,Escalade,SUV,Negro,8000,75000,Gasolina,6.2L V8,Automática,5,722,"Super Cruise, 8 asientos, AKG Studio Reference",Excelente,Zamora,1GYS4CKJ0PR123491,Available,"['Super Cruise', '8 asientos', 'AKG Studio Reference']",['SUV'],2023 cadillac escalade negro gasolina excelente super cruise 8 asientos akg studio reference suv available
2023,Lincoln,Navigator,SUV,Gris,10000,70000,Gasolina,3.5L V6 Turbo,Automática,5,595,"Co-Pilot360+, 8 asientos, Revel Ultima",Excelente,Salamanca,5LMJJ3LT0PEL123492,Available,"['Co-Pilot360+', '8 asientos', 'Revel Ultima']",['SUV'],2023 lincoln navigator gris gasolina excelente co-pilot360+ 8 asientos revel ultima suv available
2023,Alfa Romeo,Giulia,Sedan,Rojo,12000,39000,Gasolina,2.0L Turbo,Automática,5,480,"Alfa Connect, Asientos de cuero, Harman Kardon",Muy bueno,León,ZARFAEBN0P7123493,Available,"['Alfa Connect', 'Asientos de cuero', 'Harman Kardon']",['Sedan'],2023 alfa romeo giulia rojo gasolina muy bueno alfa connect asientos de cuero harman kardon sedan available
2023,Maserati,Levante,SUV,Azul,9000,68000,Gasolina,3.0L V6 Turbo,Automática,5,580,"Maserati Touch Control, Asientos Pieno Fiore, Bowers",Excelente,Palencia,ZN661XUA0PX123494,Available,"['Maserati Touch Control', 'Asientos Pieno Fiore', 'Bowers']",['SUV'],2023 maserati levante azul gasolina excelente maserati touch control asientos pieno fiore bowers suv available
2023,Bentley,Bentayga,SUV,Verde,3000,180000,Gasolina,4.0L V8 Turbo,Automática,5,484,"Bentley Rotating Display, Asientos Diamond, Naim",Excelente,Burgos,SJAAA2ZV0PC123495,Available,"['Bentley Rotating Display', 'Asientos Diamond', 'Naim']",['SUV'],2023 bentley bentayga verde gasolina excelente bentley rotating display asientos diamond naim suv available
2023,Rolls-Royce,Cullinan,SUV,Negro,2000,320000,Gasolina,6.75L V12 Turbo,Automática,5,560,"Spirit of Ecstasy, Asientos de cuero premium, Bespoke Audio",Excelente,Valladolid,SCA664S50PK123496,Available,"['Spirit of Ecstasy', 'Asientos de cuero premium', 'Bespoke Audio']",['SUV'],2023 rolls-royce cullinan negro gasolina excelente spirit of ecstasy asientos de cuero premium bespoke audio suv available
2023,Ferrari,Roma,Coupe,Rojo,1500,220000,Gasolina,3.9L V8 Turbo,DCT,2,272,"Ferrari Dynamic Enhancer, Asientos de carbono, JBL",Excelente,Ávila,ZFF9LSA0000123497,Available,"['Ferrari Dynamic Enhancer', 'Asientos de carbono', 'JBL']",['Coupe'],2023 ferrari roma rojo gasolina excelente ferrari dynamic enhancer asientos de carbono jbl coupe available
2023,Lamborghini,Huracán,Coupe,Amarillo,800,250000,Gasolina,5.2L V10,DCT,2,100,"ANIMA, Asientos de carbono, Sistema de sonido premium",Excelente,Segovia,ZHWUC1ZF0PLA123498,Available,"['ANIMA', 'Asientos de carbono', 'Sistema de sonido premium']",['Coupe'],2023 lamborghini huracán amarillo gasolina excelente anima asientos de carbono sistema de sonido premium coupe available
2023,McLaren,720S,Coupe,Naranja,1200,280000,Gasolina,4.0L V8 Turbo,DCT,2,150,"Variable Drift Control, Asientos de carbono, Bowers & Wilkins",Excelente,Soria,SBM14DCA0PW123499,Available,"['Variable Drift Control', 'Asientos de carbono', 'Bowers & Wilkins']",['Coupe'],2023 mclaren 720s naranja gasolina excelente variable drift control asientos de carbono bowers & wilkins coupe available
2023,Aston Martin,DB11,Coupe,Verde,2500,200000,Gasolina,4.0L V8 Turbo,Automática,2,270,"Aston Martin Premium Audio, Asientos de cuero Bridge of Weir",Excelente,Zamora,SCFRMFAW0PGL123500 ,Available,"['Aston Martin Premium Audio', 'Asientos de cuero Bridge of Weir']",['Coupe'],2023 aston martin db11 verde gasolina excelente aston martin premium audio asientos de cuero bridge of weir coupe available
